Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,State of the Building_Numeric,PEB_Numeric,Province_Numeric,Type of Property_Numeric,Subtype of Property_Grouped,Subtype of Property_Grouped_Numeric
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,1150000.0,3.0,245,0,0,0,0,0.0,0,0.0,0,0.0,2.0,C,98.0,As new,6,3,1,0,Apartments,1
Aalst,9300,Province of East Flanders,Apartment,apartment,649000.0,4.0,200,1,0,0,1,10.0,0,0.0,0,0.0,4.0,C,234.0,Not specified,7,3,3,0,Apartments,1
Huy,4500,Province of Liège,Apartment,apartment,100000.0,2.0,91,0,0,0,0,0.0,0,0.0,0,0.0,2.0,D,259.0,To be done up,3,4,6,0,Apartments,1
Wetteren,9230,Province of East Flanders,Apartment,apartment,220000.0,2.0,78,1,0,0,0,0.0,0,0.0,0,0.0,2.0,B,172.0,Good,4,2,3,0,Apartments,1
Geraardsbergen,9500,Province of East Flanders,House,house,369000.0,5.0,175,1,0,0,0,0.0,0,0.0,0,0.0,2.0,B,113.0,Just renovated,5,2,3,1,Houses,2
Walhain,1457,Province of Walloon Brabant,House,house,650000.0,5.0,268,0,0,0,1,59.0,1,755.0,0,858.0,0.0,B,115.0,Good,4,2,7,1,Houses,2
Kapellen,2950,Province of Antwerp,House,villa,1380000.0,5.0,400,1,0,1,1,20.0,1,8000.0,0,8241.0,4.0,C,290.0,As new,6,3,2,1,Luxury Properties,4
Anderlecht,1070,Brussels-Capital Region,Apartment,duplex,219000.0,2.0,80,1,0,0,1,14.0,0,0.0,0,0.0,2.0,C,122.0,As new,6,3,1,0,Apartments,1
Schaerbeek,1030,Brussels-Capital Region,House,mansion,595000.0,4.0,220,1,0,0,1,13.0,1,22.0,0,100.0,2.0,D,209.0,Just renovated,5,4,1,1,Luxury Properties,4
Sint-joris-weert,3051,Province of Flemish Brabant,House,house,525000.0,3.0,224,1,0,1,0,0.0,0,0.0,0,1516.0,4.0,F,543.0,Good,4,6,5,1,Houses,2
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,540000.0,4.0,255,0,0,1,0,0.0,0,0.0,0,0.0,2.0,E,262.0,To renovate,2,5,1,0,Apartments,1
Geel,2440,Province of Antwerp,House,house,649000.0,4.0,285,1,0,0,0,0.0,0,0.0,0,603.0,4.0,B,145.0,As new,6,2,2,1,Houses,2
Marchin,4570,Province of Liège,House,house,119000.0,2.0,88,0,0,0,0,0.0,0,0.0,0,130.0,2.0,G,613.0,Not specified,7,7,6,1,Houses,2
Berlare,9290,Province of East Flanders,House,house,519000.0,4.0,213,1,0,0,0,0.0,0,0.0,0,448.0,4.0,A,72.0,As new,6,1,3,1,Houses,2
Antwerpen,2018,Province of Antwerp,House,house,529000.0,6.0,235,0,0,0,0,0.0,1,24.0,0,96.0,2.0,C,226.0,Good,4,3,2,1,Houses,2
Antwerpen,2020,Province of Antwerp,Apartment,apartment,220000.0,2.0,145,1,0,0,0,0.0,0,0.0,0,0.0,2.0,D,304.0,To be done up,3,4,2,0,Apartments,1
Sint-katelijne-waver,2860,Province of Antwerp,House,house,680000.0,6.0,420,1,0,0,1,30.0,1,905.0,0,1205.0,4.0,B,188.0,Not specified,7,2,2,1,Houses,2
