Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,State of the Building_Numeric,PEB_Numeric,Province_Numeric,Type of Property_Numeric,Subtype of Property_Grouped,Subtype of Property_Grouped_Numeric
Gent,9000,Province of East Flanders,Apartment,apartment,229000.0,1.0,44,0,0,0,0,0.0,0,0.0,0,0.0,2.0,B,190.0,Good,4,2,3,0,Apartments,1
Uccle,1180,Brussels-Capital Region,House,villa,1250000.0,4.0,584,1,0,0,0,0.0,1,1085.0,0,1225.0,4.0,G,402.0,To renovate,2,7,1,1,Luxury Properties,4
Etterbeek,1040,Brussels-Capital Region,House,house,875000.0,4.0,233,1,0,0,1,21.0,0,0.0,0,112.0,3.0,G,563.0,To be done up,3,7,1,1,Houses,2
Elversele,9140,Province of East Flanders,House,villa,825000.0,4.0,281,0,0,0,0,0.0,0,0.0,1,1450.0,4.0,B,181.0,As new,6,2,3,1,Luxury Properties,4
Kalmthout,2920,Province of Antwerp,House,manor-house,4750000.0,3.0,326,0,0,0,0,0.0,0,0.0,0,34799.0,4.0,A,95.0,As new,6,1,2,1,Luxury Properties,4
Berlaar,2590,Province of Antwerp,Apartment,apartment,334000.0,2.0,93,1,0,0,0,0.0,0,0.0,0,0.0,0.0,A,2.0,Not specified,7,1,2,0,Apartments,1
Maldegem,9990,Province of East Flanders,House,house,749000.0,6.0,450,1,0,1,1,25.0,1,405.0,0,583.0,4.0,C,262.0,As new,6,3,3,1,Houses,2
Hoegaarden,3320,Province of Flemish Brabant,House,house,299000.0,3.0,141,0,0,0,0,0.0,0,0.0,0,216.0,2.0,C,245.0,Good,4,3,5,1,Houses,2
Antwerpen,2020,Province of Antwerp,Apartment,apartment,210000.0,2.0,89,1,0,0,1,5.0,0,0.0,0,0.0,0.0,C,283.0,Not specified,7,3,2,0,Apartments,1
Bievre,5555,Province of Namur,House,house,269000.0,3.0,130,1,0,0,1,40.0,0,0.0,0,270.0,2.0,B,118.0,Just renovated,5,2,10,1,Houses,2
Keerbergen,3140,Province of Flemish Brabant,House,house,699000.0,3.0,255,1,0,0,0,0.0,0,0.0,1,1380.0,4.0,B,194.0,As new,6,2,5,1,Houses,2
Uccle,1180,Brussels-Capital Region,House,villa,2900000.0,6.0,450,1,0,0,1,100.0,1,1000.0,0,1574.0,4.0,G,446.0,As new,6,7,1,1,Luxury Properties,4
Bruxelles,1000,Brussels-Capital Region,House,mixed-use-building,3500000.0,34.0,2295,0,1,0,0,0.0,0,0.0,0,0.0,2.0,Not specified,317.0,Good,4,8,1,1,Specialized Properties,3
Seraing,4102,Province of Liège,House,house,59000.0,1.0,48,1,0,0,1,22.0,0,0.0,0,68.0,2.0,G,529.0,To be done up,3,7,6,1,Houses,2
Uccle,1180,Brussels-Capital Region,House,house,585000.0,3.0,200,1,0,0,1,20.0,1,50.0,0,0.0,2.0,E,250.0,As new,6,5,1,1,Houses,2
Wilrijk,2610,Province of Antwerp,Apartment,apartment,210000.0,2.0,89,1,0,0,1,5.0,0,0.0,0,0.0,0.0,C,283.0,Not specified,7,3,2,0,Apartments,1
La-louviere-houdeng-goegnies,7110,Province of Hainaut,House,house,159000.0,2.0,117,0,0,0,0,0.0,0,0.0,0,298.0,3.0,E,367.0,Good,4,5,9,1,Houses,2
Jette,1090,Brussels-Capital Region,Apartment,apartment,299000.0,3.0,128,1,0,0,0,0.0,0,0.0,0,0.0,2.0,G,405.0,Good,4,7,1,0,Apartments,1
Aalst,9320,Province of East Flanders,House,apartment-block,699000.0,7.0,525,0,0,0,1,20.0,0,0.0,0,330.0,2.0,B,181.0,To renovate,2,2,3,1,Specialized Properties,3
Deinze,9800,Province of East Flanders,Apartment,apartment,229000.0,2.0,80,1,0,0,0,0.0,0,0.0,0,0.0,2.0,B,132.0,As new,6,2,3,0,Apartments,1
Sint-idesbald,8670,Province of West Flanders,House,villa,2450000.0,5.0,340,0,0,0,1,80.0,0,0.0,0,1544.0,4.0,B,317.0,As new,6,2,4,1,Luxury Properties,4
Moorsele,8560,Province of West Flanders,House,villa,795000.0,3.0,300,0,0,0,0,0.0,0,0.0,0,2422.0,0.0,Not specified,317.0,Not specified,7,8,4,1,Luxury Properties,4
Ixelles,1050,Brussels-Capital Region,House,house,875000.0,4.0,233,1,0,0,1,21.0,0,0.0,0,112.0,3.0,G,563.0,To be done up,3,7,1,1,Houses,2
Habay-orsinfaing,6724,Province of Luxembourg,House,exceptional-property,749000.0,5.0,608,1,1,0,1,130.0,1,1200.0,1,6595.0,3.0,D,274.0,Good,4,4,8,1,Luxury Properties,4
Uccle,1180,Brussels-Capital Region,House,house,2785000.0,4.0,400,1,0,0,1,100.0,1,900.0,1,1045.0,4.0,C,112.0,As new,6,3,1,1,Houses,2
Uccle,1180,Brussels-Capital Region,House,house,850000.0,4.0,230,1,0,0,1,50.0,1,262.0,0,250.0,2.0,E,245.0,Good,4,5,1,1,Houses,2
Ronse,9600,Province of East Flanders,House,country-cottage,239000.0,3.0,160,0,0,0,0,0.0,0,0.0,0,410.0,4.0,B,192.0,To be done up,3,2,3,1,Houses,2
Uccle,1180,Brussels-Capital Region,House,villa,2880000.0,6.0,398,1,0,0,1,100.0,1,2000.0,0,2500.0,4.0,C,137.0,As new,6,3,1,1,Luxury Properties,4
Antwerpen,2060,Province of Antwerp,House,mixed-use-building,149000.0,0.0,67,0,0,0,1,10.0,1,10.0,0,73.0,3.0,B,317.0,Just renovated,5,2,2,1,Specialized Properties,3
Sint-lievens-houtem,9520,Province of East Flanders,House,villa,549000.0,4.0,210,1,0,0,0,0.0,0,0.0,0,3582.0,4.0,F,701.0,Good,4,6,3,1,Luxury Properties,4
Brugge,8000,Province of West Flanders,House,house,695000.0,6.0,340,0,0,0,0,0.0,0,0.0,0,0.0,4.0,E,455.0,Good,4,5,4,1,Houses,2
Belsele,9111,Province of East Flanders,House,house,675000.0,5.0,360,1,0,0,1,50.0,1,1900.0,0,2200.0,3.0,Not specified,317.0,Just renovated,5,8,3,1,Houses,2
Brugge,8000,Province of West Flanders,House,mansion,788000.0,4.0,380,0,0,0,0,0.0,0,0.0,0,148.0,0.0,B,195.0,Good,4,2,4,1,Luxury Properties,4
Bruxelles,1120,Brussels-Capital Region,House,apartment-block,565000.0,4.0,215,0,0,1,1,22.0,1,105.0,0,0.0,2.0,G,793.0,Good,4,7,1,1,Specialized Properties,3
Comblain-au-pont,4171,Province of Liège,House,house,150000.0,3.0,104,1,0,0,1,15.0,1,15.0,0,193.0,4.0,F,444.0,To be done up,3,6,6,1,Houses,2
Ledeberg,9050,Province of East Flanders,House,house,299000.0,4.0,155,0,0,0,0,0.0,0,0.0,0,128.0,2.0,C,247.0,To renovate,2,3,3,1,Houses,2
Manage,7170,Province of Hainaut,House,house,119000.0,4.0,165,0,0,0,0,0.0,0,0.0,0,90.0,3.0,E,372.0,Good,4,5,9,1,Houses,2
Lasne,1380,Province of Walloon Brabant,House,house,830000.0,5.0,222,1,0,0,1,30.0,1,1850.0,0,2031.0,4.0,C,251.0,Good,4,3,7,1,Houses,2
Knokke-heist,8300,Province of West Flanders,Apartment,apartment,3950000.0,5.0,200,1,0,0,0,0.0,0,0.0,0,0.0,3.0,B,196.0,As new,6,2,4,0,Apartments,1
Gent,9000,Province of East Flanders,House,house,299000.0,4.0,155,0,0,0,0,0.0,0,0.0,0,128.0,2.0,C,247.0,To renovate,2,3,3,1,Houses,2
Saint-ghislain-baudour,7331,Province of Hainaut,House,house,180000.0,3.0,192,0,0,0,0,0.0,1,1500.0,0,1620.0,4.0,G,516.0,To renovate,2,7,9,1,Houses,2
Liege-jupillesur-meuse,4020,Province of Liège,House,mixed-use-building,155000.0,3.0,120,0,0,0,0,0.0,0,0.0,0,90.0,3.0,F,476.0,Good,4,6,6,1,Specialized Properties,3
Liege,4020,Province of Liège,House,apartment-block,99000.0,3.0,109,0,0,0,1,14.0,1,140.0,0,198.0,2.0,F,476.0,To renovate,2,6,6,1,Specialized Properties,3
Wavre,1300,Province of Walloon Brabant,House,house,545000.0,6.0,360,0,0,1,1,20.0,0,0.0,0,1277.0,4.0,D,329.0,Not specified,7,4,7,1,Houses,2
Forest,1190,Brussels-Capital Region,House,house,765000.0,5.0,360,0,0,0,1,18.0,1,500.0,0,820.0,3.0,G,395.0,To be done up,3,7,1,1,Houses,2
Knokke-heist,8300,Province of West Flanders,House,exceptional-property,5995000.0,8.0,900,1,0,0,0,0.0,1,2690.0,1,2690.0,4.0,Not specified,317.0,Good,4,8,4,1,Luxury Properties,4
Ixelles,1050,Brussels-Capital Region,House,mixed-use-building,899000.0,5.0,253,0,0,0,0,0.0,1,30.0,0,90.0,2.0,F,293.0,Good,4,6,1,1,Specialized Properties,3
Koksijde,8670,Province of West Flanders,House,house,675000.0,4.0,373,0,0,1,0,0.0,0,0.0,0,566.0,4.0,B,317.0,Not specified,7,2,4,1,Houses,2
Brussel,1020,Brussels-Capital Region,House,villa,1050000.0,6.0,391,1,0,0,1,51.0,0,0.0,0,1592.0,4.0,F,328.0,Not specified,7,6,1,1,Luxury Properties,4
Sint-martens-latem,9831,Province of East Flanders,House,country-cottage,3700000.0,5.0,792,0,0,0,0,0.0,0,0.0,0,5007.0,9.0,C,283.0,Good,4,3,3,1,Houses,2
Mechelen,2812,Province of Antwerp,House,exceptional-property,1199000.0,6.0,850,0,0,0,0,0.0,0,0.0,0,800.0,4.0,D,328.0,Not specified,7,4,2,1,Luxury Properties,4
Villers-la-ville,1495,Province of Walloon Brabant,House,exceptional-property,947000.0,5.0,320,1,0,1,1,100.0,1,1674.0,0,2114.0,4.0,C,203.0,As new,6,3,7,1,Luxury Properties,4
Wetteren,9230,Province of East Flanders,House,house,255000.0,2.0,121,1,0,0,1,10.0,1,40.0,0,130.0,3.0,F,552.0,Good,4,6,3,1,Houses,2
Blankenberge,8370,Province of West Flanders,House,house,599000.0,3.0,250,0,0,0,0,0.0,0,0.0,0,630.0,0.0,C,251.0,Not specified,7,3,4,1,Houses,2
Berlaar,2590,Province of Antwerp,House,house,549000.0,4.0,290,1,0,0,0,0.0,0,0.0,0,535.0,3.0,B,188.0,Not specified,7,2,2,1,Houses,2
Woluwe-saint-lambert,1200,Brussels-Capital Region,House,house,895000.0,5.0,328,1,0,0,1,20.0,1,60.0,0,170.0,2.0,C,142.0,Good,4,3,1,1,Houses,2
Uccle,1180,Brussels-Capital Region,Apartment,apartment,375000.0,2.0,90,1,0,0,0,0.0,0,0.0,0,0.0,2.0,D,183.0,To renovate,2,4,1,0,Apartments,1
Oud-heverlee,3050,Province of Flemish Brabant,House,house,729000.0,3.0,200,1,0,0,1,54.0,0,0.0,0,783.0,4.0,Not specified,317.0,Not specified,7,8,5,1,Houses,2
Leopoldsburg,3970,Province of Limburg,House,villa,545000.0,3.0,207,0,0,0,0,0.0,1,1028.0,0,1221.0,4.0,B,167.0,As new,6,2,11,1,Luxury Properties,4
Beersel-alsemberg,1652,Province of Flemish Brabant,House,house,379000.0,3.0,150,1,0,0,1,10.0,1,271.0,0,372.0,3.0,D,399.0,Good,4,4,5,1,Houses,2
Knokke-heist,8300,Province of West Flanders,Apartment,apartment,349500.0,1.0,46,0,0,0,0,0.0,0,0.0,0,0.0,0.0,B,152.0,As new,6,2,4,0,Apartments,1
Zwijndrecht,2070,Province of Antwerp,House,house,420000.0,3.0,173,0,0,0,0,0.0,0,0.0,0,391.0,0.0,D,367.0,Good,4,4,2,1,Houses,2
Bornem,2880,Province of Antwerp,House,house,160000.0,3.0,118,1,0,0,0,0.0,1,263.0,0,345.0,2.0,E,446.0,To renovate,2,5,2,1,Houses,2
Brasschaat,2930,Province of Antwerp,House,villa,775000.0,4.0,333,0,0,1,0,0.0,0,0.0,0,1719.0,4.0,F,605.0,To renovate,2,6,2,1,Luxury Properties,4
Mortsel,2640,Province of Antwerp,Apartment,ground-floor,225000.0,1.0,55,1,0,0,1,30.0,1,106.0,0,0.0,2.0,D,316.0,Good,4,4,2,0,Apartments,1
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,270000.0,2.0,75,1,1,0,1,8.0,0,0.0,0,0.0,0.0,D,168.0,As new,6,4,1,0,Apartments,1
Saint-gilles,1060,Brussels-Capital Region,House,mixed-use-building,899000.0,5.0,253,0,0,0,0,0.0,1,30.0,0,90.0,2.0,F,293.0,Good,4,6,1,1,Specialized Properties,3
Wavre,1300,Province of Walloon Brabant,House,house,695000.0,5.0,325,1,0,0,0,0.0,0,0.0,0,3175.0,4.0,C,249.0,To be done up,3,3,7,1,Houses,2
Zonhoven,3520,Province of Limburg,House,house,775000.0,3.0,242,1,0,0,0,0.0,0,0.0,0,1576.0,4.0,C,240.0,Not specified,7,3,11,1,Houses,2
Schaerbeek,1030,Brussels-Capital Region,Apartment,apartment,199000.0,1.0,55,1,0,0,0,0.0,0,0.0,0,0.0,2.0,G,426.0,As new,6,7,1,0,Apartments,1
Oostduinkerke,8670,Province of West Flanders,House,house,780775.0,3.0,211,0,0,0,0,0.0,0,0.0,0,1361.0,0.0,Not specified,317.0,Not specified,7,8,4,1,Houses,2
Liege-jupillesur-meuse,4020,Province of Liège,House,house,155000.0,3.0,120,0,0,0,0,0.0,0,0.0,0,90.0,3.0,F,476.0,Good,4,6,6,1,Houses,2
Leuven,3000,Province of Flemish Brabant,Apartment,flat-studio,245000.0,1.0,30,1,1,0,1,6.0,0,0.0,0,0.0,0.0,B,113.0,Good,4,2,5,0,Apartments,1
Liege,4000,Province of Liège,Apartment,apartment,187000.0,2.0,78,1,0,0,0,0.0,0,0.0,0,0.0,2.0,C,198.0,Good,4,3,6,0,Apartments,1
Uccle,1180,Brussels-Capital Region,House,villa,1290000.0,3.0,230,1,0,0,0,0.0,0,0.0,0,2400.0,4.0,G,505.0,Good,4,7,1,1,Luxury Properties,4
Braine-lalleud,1420,Province of Walloon Brabant,House,villa,1395000.0,5.0,520,1,0,0,0,0.0,1,3400.0,0,3727.0,4.0,C,202.0,Good,4,3,7,1,Luxury Properties,4
Assenede-boekhoute,9961,Province of East Flanders,House,castle,2950000.0,9.0,1699,1,0,0,1,550.0,1,16500.0,0,65193.0,4.0,Not specified,317.0,As new,6,8,3,1,Luxury Properties,4
Knokke-heist,8300,Province of West Flanders,House,house,795000.0,3.0,200,1,0,0,0,0.0,0,0.0,0,125.0,2.0,B,183.0,Good,4,2,4,1,Houses,2
Petegem-aan-de-leie,9800,Province of East Flanders,Apartment,apartment,199000.0,2.0,78,1,0,0,1,2.0,0,0.0,0,0.0,2.0,A,98.0,Good,4,1,3,0,Apartments,1
Deurne,2100,Province of Antwerp,Apartment,apartment,189000.0,3.0,93,1,0,0,1,5.0,0,0.0,0,0.0,0.0,C,293.0,To be done up,3,3,2,0,Apartments,1
Virton-ethe,6760,Province of Luxembourg,House,house,555000.0,7.0,330,1,0,0,1,20.0,1,700.0,0,956.0,4.0,C,235.0,Good,4,3,8,1,Houses,2
Saint-nicolas,4420,Province of Liège,Apartment,apartment,139500.0,1.0,42,1,0,0,1,10.0,0,0.0,0,0.0,2.0,Not specified,317.0,Just renovated,5,8,6,0,Apartments,1
Antwerpen,2018,Province of Antwerp,House,mansion,1675000.0,8.0,681,0,0,0,1,30.0,1,215.0,0,358.0,2.0,D,309.0,To renovate,2,4,2,1,Luxury Properties,4
Antwerpen-berchem,2600,Province of Antwerp,Apartment,apartment,159900.0,2.0,77,1,0,0,1,5.0,0,0.0,0,0.0,2.0,B,129.0,Good,4,2,2,0,Apartments,1
Dison,4800,Province of Liège,House,house,220000.0,3.0,92,1,0,0,1,6.0,1,227.0,0,261.0,2.0,C,216.0,Good,4,3,6,1,Houses,2
Liege,4000,Province of Liège,House,apartment-block,920000.0,8.0,360,1,0,0,1,18.0,1,45.0,0,280.0,3.0,B,168.0,Good,4,2,6,1,Specialized Properties,3
Liege,4000,Province of Liège,House,house,270000.0,3.0,148,1,0,0,1,10.0,1,300.0,0,405.0,2.0,C,198.0,Just renovated,5,3,6,1,Houses,2
Genappe,1470,Province of Walloon Brabant,House,house,195000.0,2.0,142,1,0,0,0,0.0,1,140.0,0,282.0,3.0,G,568.0,To renovate,2,7,7,1,Houses,2
Woluwe-saint-lambert,1200,Brussels-Capital Region,House,house,945000.0,5.0,353,1,0,0,0,0.0,1,104.0,0,222.0,2.0,E,226.0,Good,4,5,1,1,Houses,2
Forest,1190,Brussels-Capital Region,House,apartment-block,620000.0,5.0,377,1,0,0,1,17.0,1,86.0,0,188.0,2.0,Not specified,317.0,Good,4,8,1,1,Specialized Properties,3
Herselt-ramsel,2230,Province of Antwerp,House,villa,849000.0,4.0,437,1,0,0,0,0.0,0,0.0,1,1750.0,4.0,C,259.0,As new,6,3,2,1,Luxury Properties,4
Brasschaat,2930,Province of Antwerp,House,villa,4385000.0,5.0,988,1,0,1,0,0.0,0,0.0,1,18997.0,4.0,B,177.0,As new,6,2,2,1,Luxury Properties,4
Retie,2470,Province of Antwerp,Apartment,apartment,595000.0,4.0,254,0,0,0,1,95.0,0,0.0,0,0.0,0.0,B,191.0,Not specified,7,2,2,0,Apartments,1
Bruxelles,1000,Brussels-Capital Region,Apartment,apartment,179000.0,1.0,39,0,1,0,0,0.0,0,0.0,0,0.0,3.0,C,116.0,Good,4,3,1,0,Apartments,1
Liege-chenee,4032,Province of Liège,House,house,199000.0,3.0,110,1,0,0,1,35.0,1,35.0,0,95.0,2.0,D,290.0,Good,4,4,6,1,Houses,2
Grace-hollogne,4460,Province of Liège,House,house,249000.0,3.0,157,1,0,0,1,18.0,1,25.0,0,204.0,2.0,D,334.0,Good,4,4,6,1,Houses,2
Kontich,2550,Province of Antwerp,House,villa,570000.0,5.0,228,1,0,0,0,0.0,1,496.0,0,633.0,4.0,E,462.0,Good,4,5,2,1,Luxury Properties,4
Antwerpen,2018,Province of Antwerp,Apartment,duplex,785000.0,3.0,240,0,0,0,0,0.0,1,83.0,0,0.0,2.0,Not specified,317.0,As new,6,8,2,0,Apartments,1
Knokke-heist,8301,Province of West Flanders,House,house,875000.0,6.0,215,0,0,0,0,0.0,0,0.0,0,249.0,4.0,F,616.0,To be done up,3,6,4,1,Houses,2
Gent,9000,Province of East Flanders,Apartment,apartment,270000.0,2.0,74,0,0,0,1,3.0,0,0.0,0,0.0,0.0,B,153.0,To be done up,3,2,3,0,Apartments,1
Virton,6762,Province of Luxembourg,House,mixed-use-building,250000.0,3.0,149,0,0,0,0,0.0,0,0.0,0,185.0,2.0,F,494.0,To be done up,3,6,8,1,Specialized Properties,3
Uccle,1180,Brussels-Capital Region,House,mixed-use-building,699000.0,4.0,286,1,0,0,1,20.0,1,55.0,0,185.0,2.0,G,426.0,Good,4,7,1,1,Specialized Properties,3
Anhee,5537,Province of Namur,Apartment,apartment,199000.0,2.0,89,0,1,0,0,0.0,0,0.0,0,0.0,0.0,A,83.0,Just renovated,5,1,10,0,Apartments,1
Gent,9052,Province of East Flanders,House,villa,930000.0,3.0,262,1,0,1,0,0.0,1,624.0,1,789.0,4.0,A,36.0,As new,6,1,3,1,Luxury Properties,4
Knokke-heist,8300,Province of West Flanders,Apartment,apartment,4200000.0,4.0,246,1,0,0,0,0.0,0,0.0,0,0.0,0.0,B,195.0,Good,4,2,4,0,Apartments,1
Schaerbeek,1030,Brussels-Capital Region,House,mansion,925000.0,5.0,342,1,0,1,1,25.0,1,150.0,0,220.0,0.0,Not specified,317.0,Not specified,7,8,1,1,Luxury Properties,4
Spa,4900,Province of Liège,Apartment,duplex,298500.0,2.0,86,1,0,0,1,9.0,0,0.0,0,0.0,2.0,B,127.0,Good,4,2,6,0,Apartments,1
Beersel,1650,Province of Flemish Brabant,House,house,259000.0,3.0,110,1,0,0,0,0.0,1,36.0,0,98.0,2.0,D,304.0,To renovate,2,4,5,1,Houses,2
Hertsberge,8020,Province of West Flanders,House,country-cottage,1690000.0,3.0,495,0,0,1,0,0.0,0,0.0,1,8698.0,4.0,C,233.0,To be done up,3,3,4,1,Houses,2
Sint-kruis,8310,Province of West Flanders,House,house,850000.0,4.0,279,1,0,0,0,0.0,1,490.0,0,490.0,3.0,A,69.0,As new,6,1,4,1,Houses,2
Keerbergen,3140,Province of Flemish Brabant,House,house,1199000.0,4.0,478,1,0,0,0,0.0,0,0.0,0,2980.0,4.0,C,212.0,Not specified,7,3,5,1,Houses,2
Knokke-heist,8300,Province of West Flanders,House,house,965000.0,4.0,265,0,0,0,0,0.0,0,0.0,0,0.0,0.0,Not specified,317.0,Good,4,8,4,1,Houses,2
Ixelles,1050,Brussels-Capital Region,Apartment,apartment,895000.0,3.0,223,1,0,0,1,13.0,0,0.0,0,0.0,2.0,C,105.0,Not specified,7,3,1,0,Apartments,1
Wanze,4520,Province of Liège,Apartment,apartment,200000.0,2.0,80,0,0,0,1,4.0,0,0.0,0,0.0,0.0,B,161.0,Good,4,2,6,0,Apartments,1
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,330000.0,2.0,76,1,0,0,0,0.0,0,0.0,0,0.0,0.0,C,115.0,Good,4,3,1,0,Apartments,1
Tienen,3300,Province of Flemish Brabant,Apartment,ground-floor,265000.0,2.0,85,0,0,0,0,0.0,0,0.0,0,0.0,0.0,B,200.0,As new,6,2,5,0,Apartments,1
Bruxelles,1120,Brussels-Capital Region,Apartment,apartment,207000.0,1.0,75,1,0,0,0,0.0,0,0.0,0,0.0,2.0,C,102.0,Good,4,3,1,0,Apartments,1
Arlon,6700,Province of Luxembourg,House,house,515000.0,4.0,250,1,0,1,1,38.0,0,0.0,0,260.0,2.0,C,194.0,As new,6,3,8,1,Houses,2
Grez-doiceau,1390,Province of Walloon Brabant,House,house,2590000.0,4.0,430,1,0,0,1,150.0,0,0.0,1,5968.0,0.0,B,121.0,Good,4,2,7,1,Houses,2
Etterbeek,1040,Brussels-Capital Region,House,house,540000.0,4.0,250,1,0,0,0,0.0,0,0.0,0,240.0,2.0,G,317.0,To renovate,2,7,1,1,Houses,2
Geraardsbergen,9500,Province of East Flanders,House,apartment-block,1095000.0,16.0,700,0,0,0,0,0.0,0,0.0,0,1335.0,4.0,B,170.0,As new,6,2,3,1,Specialized Properties,3
Meise-wolvertem,1861,Province of Flemish Brabant,House,house,1000000.0,3.0,400,0,0,0,0,0.0,0,0.0,0,800.0,3.0,D,367.0,As new,6,4,5,1,Houses,2
Lier,2500,Province of Antwerp,Apartment,duplex,349000.0,3.0,133,1,0,0,0,0.0,0,0.0,0,0.0,2.0,B,164.0,Not specified,7,2,2,0,Apartments,1
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,215000.0,2.0,78,0,0,0,1,13.0,0,0.0,0,0.0,2.0,C,120.0,To renovate,2,3,1,0,Apartments,1
Brasschaat,2930,Province of Antwerp,House,villa,1195000.0,4.0,284,1,0,1,0,0.0,1,1880.0,0,1880.0,4.0,C,236.0,As new,6,3,2,1,Luxury Properties,4
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,390000.0,2.0,81,1,0,0,1,4.0,0,0.0,0,0.0,0.0,D,196.0,Good,4,4,1,0,Apartments,1
Oudenaarde,9700,Province of East Flanders,House,house,274000.0,4.0,182,0,0,0,0,0.0,0,0.0,0,750.0,2.0,E,493.0,Good,4,5,3,1,Houses,2
Onze-lieve-vrouw-waver,2861,Province of Antwerp,House,house,835000.0,5.0,335,0,0,0,0,0.0,0,0.0,0,12932.0,0.0,B,134.0,Good,4,2,2,1,Houses,2
Alleur,4432,Province of Liège,Apartment,apartment,219000.0,2.0,98,0,0,0,1,6.0,0,0.0,0,0.0,3.0,D,305.0,Not specified,7,4,6,0,Apartments,1
Petit-enghien,7850,Province of Hainaut,House,villa,545000.0,4.0,220,0,0,0,0,0.0,0,0.0,0,1437.0,4.0,B,119.0,Not specified,7,2,9,1,Luxury Properties,4
Zoersel,2980,Province of Antwerp,House,house,775000.0,4.0,350,0,0,0,0,0.0,0,0.0,0,3715.0,4.0,C,226.0,To be done up,3,3,2,1,Houses,2
Ixelles,1050,Brussels-Capital Region,House,house,1200000.0,2.0,200,0,0,0,1,12.0,1,80.0,0,338.0,2.0,Not specified,317.0,As new,6,8,1,1,Houses,2
Antwerpen,2050,Province of Antwerp,House,exceptional-property,446000.0,3.0,121,0,0,0,0,0.0,1,60.0,0,133.0,3.0,A,76.0,As new,6,1,2,1,Luxury Properties,4
Braine-lalleud,1420,Province of Walloon Brabant,House,house,275000.0,3.0,100,1,0,0,1,15.0,1,141.0,0,190.0,2.0,C,210.0,To be done up,3,3,7,1,Houses,2
Laeken,1020,Brussels-Capital Region,Apartment,apartment,220000.0,2.0,74,1,0,0,0,0.0,0,0.0,0,0.0,2.0,G,625.0,As new,6,7,1,0,Apartments,1
Zwevegem,8550,Province of West Flanders,House,house,629000.0,2.0,289,1,0,0,0,0.0,0,0.0,0,1034.0,4.0,D,347.0,Just renovated,5,4,4,1,Houses,2
Tielt,8700,Province of West Flanders,House,apartment-block,545000.0,0.0,260,1,0,0,0,0.0,0,0.0,0,93.0,0.0,A,90.0,To renovate,2,1,4,1,Specialized Properties,3
Eeklo,9900,Province of East Flanders,House,house,535000.0,4.0,272,0,0,0,0,0.0,0,0.0,0,983.0,4.0,B,134.0,As new,6,2,3,1,Houses,2
Elsene,1050,Brussels-Capital Region,House,house,1200000.0,5.0,202,0,0,0,1,9.0,1,20.0,0,0.0,2.0,Not specified,317.0,Good,4,8,1,1,Houses,2
Gilly,6060,Province of Hainaut,House,house,155000.0,2.0,100,0,0,1,1,18.0,1,42.0,0,0.0,2.0,F,460.0,Good,4,6,9,1,Houses,2
Antwerpen,2060,Province of Antwerp,House,house,275000.0,3.0,183,1,0,0,0,0.0,1,30.0,0,91.0,2.0,F,568.0,To be done up,3,6,2,1,Houses,2
Anderlecht,1070,Brussels-Capital Region,Apartment,apartment,220000.0,2.0,75,1,0,0,1,3.0,0,0.0,0,0.0,2.0,D,210.0,Good,4,4,1,0,Apartments,1
Liege,4000,Province of Liège,Apartment,apartment,920000.0,8.0,360,1,0,0,1,18.0,1,45.0,0,0.0,3.0,B,168.0,Good,4,2,6,0,Apartments,1
Overijse,3090,Province of Flemish Brabant,House,villa,899000.0,6.0,338,0,0,0,0,0.0,0,0.0,0,820.0,4.0,F,720.0,Not specified,7,6,5,1,Luxury Properties,4
Borgerhout,2140,Province of Antwerp,Apartment,apartment,225000.0,2.0,82,1,0,0,1,6.0,0,0.0,0,0.0,0.0,B,171.0,Good,4,2,2,0,Apartments,1
Braine-lalleud,1420,Province of Walloon Brabant,House,house,285000.0,3.0,140,1,0,0,1,21.0,1,128.0,0,205.0,2.0,C,216.0,To renovate,2,3,7,1,Houses,2
Schaerbeek,1030,Brussels-Capital Region,House,mixed-use-building,950000.0,5.0,1340,0,0,0,0,0.0,0,0.0,0,900.0,2.0,G,391.0,To renovate,2,7,1,1,Specialized Properties,3
Kluisbergen,9690,Province of East Flanders,House,mixed-use-building,545000.0,6.0,340,0,1,0,1,29.0,0,0.0,0,2444.0,2.0,C,221.0,Not specified,7,3,3,1,Specialized Properties,3
Zoersel-halle,2980,Province of Antwerp,House,villa,525000.0,4.0,257,1,0,0,0,0.0,0,0.0,1,1359.0,4.0,D,310.0,Not specified,7,4,2,1,Luxury Properties,4
Waterloo,1410,Province of Walloon Brabant,House,mixed-use-building,1350000.0,3.0,710,0,0,0,0,0.0,0,0.0,0,944.0,4.0,C,233.0,Good,4,3,7,1,Specialized Properties,3
Blankenberge,8370,Province of West Flanders,Apartment,apartment,245000.0,2.0,100,0,0,0,0,0.0,0,0.0,0,0.0,0.0,B,135.0,Good,4,2,4,0,Apartments,1
